"full_name","mouse_ID","organ","sample_number","SDI","SDI_sd","SDI_separate_species","n_pixels"
"MOUSE_A_CAECUM_001a.png_RGB_XY_HSV","A","CAECUM","001a",0.767082687396676,0.0097837784075906,0.998608932011058,3589253
"MOUSE_A_PERI_001a.png_RGB_XY_HSV","A","PERI","001a",0.768342567767738,0.0155551763421005,0.998733725907136,7923
"MOUSE_A_PERI_001b.png_RGB_XY_HSV","A","PERI","001b",0.300898336277446,0.14913867858375,0.997301204881797,41886
"MOUSE_A_PERI_002a.png_RGB_XY_HSV","A","PERI","002a",0.684430226134976,0.0327178637958394,0.809810598147031,61781
"MOUSE_A_PERI_003a.png_RGB_XY_HSV","A","PERI","003a",0.437952689037127,0.0737343277260049,0.998066314680571,268977
"MOUSE_A_PERI_004a.png_RGB_XY_HSV","A","PERI","004a",0.711025309945605,0.032947682328684,0.85903337611203,195613
"MOUSE_B_CAECUM_001a.png_RGB_XY_HSV","B","CAECUM","001a",0.812278948763504,0.00403158411087829,0.999326253297648,830563
"MOUSE_B_LIVER_001a.png_RGB_XY_HSV","B","LIVER","001a",0.479132746948844,0.0799499867422202,0.998617951373198,58024
"MOUSE_B_PERI_001a.png_RGB_XY_HSV","B","PERI","001a",0.75554390730397,0.00306257149140189,0.998262764386337,2761326
"MOUSE_B_PERI_002a.png_RGB_XY_HSV","B","PERI","002a",0.869046685034566,0.00139956810362813,0.998545483501409,3355796
"MOUSE_C_CAECUM_001a.png_RGB_XY_HSV","C","CAECUM","001a",0.84716561105966,0.0051403796185987,0.998062189229842,2816929
"MOUSE_D_CAECUM_001a.png_RGB_XY_HSV","D","CAECUM","001a",0.855766762079075,0.00687312590206688,0.999066951375846,2156089
"MOUSE_D_LIVER_001a.png_RGB_XY_HSV","D","LIVER","001a",0.383868034304102,0.116292312544283,0.997261388626315,367503
"MOUSE_D_LIVER_001b.png_RGB_XY_HSV","D","LIVER","001b",0.702457266509533,0.020490018807822,0.998409238524108,253679
"MOUSE_D_LIVER_001c.png_RGB_XY_HSV","D","LIVER","001c",0.00222236522654416,0.000187109713655656,0.00372035961173922,326007
"MOUSE_D_LIVER_001d.png_RGB_XY_HSV","D","LIVER","001d",0.0274672020325919,0.0140746653987242,0.0756533744585403,69272
"MOUSE_D_LIVER_001e.png_RGB_XY_HSV","D","LIVER","001e",0.638881602678212,0.0158129844774958,0.995671250634608,85111
"MOUSE_D_LIVER_001f.png_RGB_XY_HSV","D","LIVER","001f",0.62186625306791,0.0434001041708707,0.998463475606764,193122
"MOUSE_D_LIVER_001g.png_RGB_XY_HSV","D","LIVER","001g",0.306075965679163,0.119107550067922,0.996313668113737,23636
"MOUSE_E_CAECUM_001a.png_RGB_XY_HSV","E","CAECUM","001a",0.872631894302575,0.00848738183846902,0.984452742831761,2776611
"MOUSE_E_LIVER_001a.png_RGB_XY_HSV","E","LIVER","001a",0.534123591681615,0.0345764242528191,0.999073690511272,138601
"MOUSE_E_LIVER_001b.png_RGB_XY_HSV","E","LIVER","001b",0.394357081985817,0.105428047014762,0.995694487110683,996831
"MOUSE_E_LIVER_001c.png_RGB_XY_HSV","E","LIVER","001c",0.486272182441833,0.0663201267242749,0.997705480042226,103154
"MOUSE_E_LIVER_001d.png_RGB_XY_HSV","E","LIVER","001d",0.718061777284705,0.0284138664751593,0.970277377273664,77062
"MOUSE_E_LIVER_001e.png_RGB_XY_HSV","E","LIVER","001e",0.551589080631022,0.0300469072708345,0.993072348114051,21274
"MOUSE_E_LIVER_001f.png_RGB_XY_HSV","E","LIVER","001f",0.470850993515392,0.0720124525831215,0.994895814559064,12738
"MOUSE_E_LIVER_001g.png_RGB_XY_HSV","E","LIVER","001g",0.648756109276892,0.00915914442021147,0.997680622004769,293003
"MOUSE_E_LIVER_001h.png_RGB_XY_HSV","E","LIVER","001h",0.463358396286152,0.0620684414789484,0.994030024009903,6367
"MOUSE_E_LIVER_001i.png_RGB_XY_HSV","E","LIVER","001i",0.406572130394916,0.0877498266659111,0.990111329575267,3431378
"MOUSE_E_LIVER_001j.png_RGB_XY_HSV","E","LIVER","001j",0.204501640809546,0.0233124420854769,0.269521805837604,18893
"MOUSE_E_LIVER_001k.png_RGB_XY_HSV","E","LIVER","001k",0.0682816185952492,0.15339175440583,0.774765767598081,202442
"MOUSE_E_LIVER_001l.png_RGB_XY_HSV","E","LIVER","001l",0.639239072763296,0.0684141213923263,0.930093299142847,59350
"MOUSE_E_LIVER_002a.png_RGB_XY_HSV","E","LIVER","002a",0.564332161500695,0.0616628621721834,0.963129969253447,754406
"MOUSE_E_LIVER_002b.png_RGB_XY_HSV","E","LIVER","002b",0.224597021377374,0.134421435170536,0.563666241325782,59200
"MOUSE_E_LIVER_002c.png_RGB_XY_HSV","E","LIVER","002c",0.518095413247355,0.070531148213269,0.956887462682739,12353
"MOUSE_E_LIVER_002d.png_RGB_XY_HSV","E","LIVER","002d",0.445710646983083,0.126189006983496,0.854726303499652,242580
"MOUSE_E_LIVER_002e.png_RGB_XY_HSV","E","LIVER","002e",0.39760076195266,0.110187915614186,0.998293079717646,79258
"MOUSE_E_LIVER_002f.png_RGB_XY_HSV","E","LIVER","002f",0.686469756001711,0.0062645712189446,0.996744426314762,161123
"MOUSE_E_LIVER_002g.png_RGB_XY_HSV","E","LIVER","002g",0.645379147956908,0.0165578930722728,0.985259844689521,91791
"MOUSE_E_LIVER_002h.png_RGB_XY_HSV","E","LIVER","002h",0.270225766743399,0.150176467085737,0.994833989902677,61211
"MOUSE_E_LIVER_002i.png_RGB_XY_HSV","E","LIVER","002i",0.0464858434654641,0.0195534275267311,0.136471090236575,12237
"MOUSE_E_LIVER_002j.png_RGB_XY_HSV","E","LIVER","002j",0.714794202925058,0.00360759253025422,0.827675281562397,8724
"MOUSE_E_LIVER_003a.png_RGB_XY_HSV","E","LIVER","003a",0.487002822231007,0.0539647871221313,0.994957718002754,1297772
"MOUSE_E_LIVER_003b.png_RGB_XY_HSV","E","LIVER","003b",0.486821612314585,0.0531211293745555,0.997455967310667,2516928
"MOUSE_E_LIVER_003c.png_RGB_XY_HSV","E","LIVER","003c",0.42456724244579,0.0857648044734674,0.993191523551535,32888
"MOUSE_E_LIVER_003d.png_RGB_XY_HSV","E","LIVER","003d",0.560828911362338,0.0174292851123263,0.998646888839954,1039043
"MOUSE_E_LIVER_003e.png_RGB_XY_HSV","E","LIVER","003e",0.443788607013732,0.0759513165772841,0.997528225467781,190962
"MOUSE_E_LIVER_003f.png_RGB_XY_HSV","E","LIVER","003f",0.404094622232288,0.0986113197295709,0.998874410487846,520204
"MOUSE_E_LIVER_003g.png_RGB_XY_HSV","E","LIVER","003g",0.447536827072868,0.0773494005865467,0.99861070307347,1874046
"MOUSE_E_LIVER_004a.png_RGB_XY_HSV","E","LIVER","004a",0.00022146328751883,0.000161752893247739,0.00348426238645616,42439
"MOUSE_E_LIVER_004b.png_RGB_XY_HSV","E","LIVER","004b",0.00766708199807266,0.00739508604723232,0.128614371813217,27657
"MOUSE_E_LIVER_004c.png_RGB_XY_HSV","E","LIVER","004c",0.353178087287162,0.131450911948148,0.988042420442813,6071
"MOUSE_E_LIVER_004d.png_RGB_XY_HSV","E","LIVER","004d",0.0189974080387166,0.00355841057414051,0.0641569569895786,604682
"MOUSE_E_LIVER_004e.png_RGB_XY_HSV","E","LIVER","004e",0.174573071694305,0.115699746243882,0.555424180704977,32128
"MOUSE_E_LIVER_004f.png_RGB_XY_HSV","E","LIVER","004f",0.227485525853344,0.160108693402279,0.991096257690852,166260
"MOUSE_E_LIVER_004g.png_RGB_XY_HSV","E","LIVER","004g",0.614878372705644,0.0214826078736999,0.994110771349613,52095
"MOUSE_E_LIVER_004h.png_RGB_XY_HSV","E","LIVER","004h",0.261195664705107,0.12063653176193,0.965329013204583,94128
"MOUSE_E_LIVER_004i.png_RGB_XY_HSV","E","LIVER","004i",0.0388152538604163,0.0937101026754453,0.329254891066782,1309
"MOUSE_E_PERI_001a.png_RGB_XY_HSV","E","PERI","001a",0.0713780843930084,0.0737023874148672,0.258530017270182,672085
"MOUSE_E_PERI_001b.png_RGB_XY_HSV","E","PERI","001b",0.617109721525493,0.0283534408360696,0.999425649600501,1016828
"MOUSE_E_PERI_001c.png_RGB_XY_HSV","E","PERI","001c",0.604081453440477,0.0333330623907738,0.884333797391879,2324754
"MOUSE_E_PERI_001d.png_RGB_XY_HSV","E","PERI","001d",0.726248314511305,0.01090602034159,0.998815535695939,789534
"MOUSE_E_PERI_001e.png_RGB_XY_HSV","E","PERI","001e",0.589905214484809,0.0592950900375767,0.752787931628555,473191
"MOUSE_E_PERI_001f.png_RGB_XY_HSV","E","PERI","001f",0.504892623305813,0.066385391901213,0.997692538417656,777073
"MOUSE_E_PERI_001g.png_RGB_XY_HSV","E","PERI","001g",0.778526459938773,0.0166082085567793,0.991412813471959,5146
"MOUSE_E_PERI_001h.png_RGB_XY_HSV","E","PERI","001h",0.652074851901023,0.0107569667877123,0.996744765953232,1920389
"MOUSE_E_PERI_001i.png_RGB_XY_HSV","E","PERI","001i",0.78242494153916,0.00724019590249746,0.995871520694123,230317
"MOUSE_E_PERI_001j.png_RGB_XY_HSV","E","PERI","001j",0.794267600720295,0.00285231415866102,0.899547446864609,435193
"MOUSE_E_PERI_001k.png_RGB_XY_HSV","E","PERI","001k",0.429245652917938,0.014692921292703,0.596604180867439,1873189
"MOUSE_F_CAECUM_001a.png_RGB_XY_HSV","F","CAECUM","001a",0.870459031457598,0.00188027273026997,0.999260077512382,2053021
"MOUSE_F_PERI_001a.png_RGB_XY_HSV","F","PERI","001a",0.829364780679921,0.00578195068748356,0.998676804181869,1167605
"MOUSE_H_CAECUM_001a.png_RGB_XY_HSV","H","CAECUM","001a",0.867409557978633,0.00464984432110424,0.994095389798653,3349334
"MOUSE_H_LIVER_001a.png_RGB_XY_HSV","H","LIVER","001a",0.591697973700749,0.0332187914371826,0.994319426118997,201082
"MOUSE_H_LIVER_002a.png_RGB_XY_HSV","H","LIVER","002a",0.2719393050113,0.14489304151376,0.567301946353256,51522
"MOUSE_H_LIVER_003a.png_RGB_XY_HSV","H","LIVER","003a",0.166265238218379,0.00676668495022311,0.203660332123976,32821
"MOUSE_H_LIVER_004a.png_RGB_XY_HSV","H","LIVER","004a",0.484367076104933,0.0494443400823861,0.990097540002887,11342
"MOUSE_H_LIVER_005a.png_RGB_XY_HSV","H","LIVER","005a",0.591230032306223,0.0480751426423548,0.864887269703082,12444
"MOUSE_H_LIVER_006a.png_RGB_XY_HSV","H","LIVER","006a",0.64877242696481,0.0282787585269931,0.998680312934188,8977
"MOUSE_H_LIVER_007a.png_RGB_XY_HSV","H","LIVER","007a",0.181939716329594,0.103415099977845,0.367739870993797,49202
"MOUSE_H_LIVER_008a.png_RGB_XY_HSV","H","LIVER","008a",0.568501542675594,0.0395562402354323,0.743862302555345,112196
"MOUSE_H_PERI_001a.png_RGB_XY_HSV","H","PERI","001a",0.844862450625201,0.000858057504627659,0.997825634293612,106941
"MOUSE_H_PERI_002a.png_RGB_XY_HSV","H","PERI","002a",0.102531894290506,0.00291290137497967,0.11381389189685,41898
"MOUSE_H_PERI_003a.png_RGB_XY_HSV","H","PERI","003a",0.563888893354114,0.060810354676479,0.991591160874504,212430
"MOUSE_I_CAECUM_001a.png_RGB_XY_HSV","I","CAECUM","001a",0.876203753310399,0.00109230290304523,0.998742838547534,4072488
"MOUSE_J_CAECUM_001a.png_RGB_XY_HSV","J","CAECUM","001a",0.865216609882057,0.000583404966854895,0.999286515113336,1240504
"MOUSE_K_CAECUM_001a.png_RGB_XY_HSV","K","CAECUM","001a",0.787763327833259,0.00188620392445296,0.998960473658129,865669
"MOUSE_M_CAECUM_001a.png_RGB_XY_HSV","M","CAECUM","001a",0.885424589606492,0.00145444820736783,0.998882536571167,945765
"MOUSE_N_CAECUM_001a.png_RGB_XY_HSV","N","CAECUM","001a",0.845697671275175,0.00511240884740617,0.998501850411591,1558024
"MOUSE_O_CAECUM_001a.png_RGB_XY_HSV","O","CAECUM","001a",0.869278990445308,0.00193604194517519,0.999502517563515,8181221
"MOUSE_P_CAECUM_001a.png_RGB_XY_HSV","P","CAECUM","001a",0.857469607428401,0.00865766102786935,0.998204593432302,1232503
"MOUSE_Q_LIVER_001a.png_RGB_XY_HSV","Q","LIVER","001a",0.380658794739218,0.118700730604023,0.974371364003391,183060
"MOUSE_Q_LIVER_001b.png_RGB_XY_HSV","Q","LIVER","001b",0.501295808711804,0.0392750816708467,0.970358788208325,2122462
"MOUSE_Q_LIVER_001c.png_RGB_XY_HSV","Q","LIVER","001c",0.488717296640673,0.0959376104069061,0.91473063091276,2850198
"MOUSE_Q_LIVER_001d.png_RGB_XY_HSV","Q","LIVER","001d",0.476118977383543,0.0626346228738429,0.958549305268412,226129
"MOUSE_Q_LIVER_001e.png_RGB_XY_HSV","Q","LIVER","001e",0.585483849067655,0.0340350191218128,0.96706250451171,323324
"MOUSE_Q_LIVER_001f.png_RGB_XY_HSV","Q","LIVER","001f",0.660577761076032,0.0180497017668225,0.984302131183432,590131
"MOUSE_Q_LIVER_001g.png_RGB_XY_HSV","Q","LIVER","001g",0.634726310087007,0.0243838864375535,0.971510032794307,225207
"MOUSE_Q_LIVER_001h.png_RGB_XY_HSV","Q","LIVER","001h",0.598003965249852,0.0949039009521839,0.86255142645805,24671
"MOUSE_Q_LIVER_001i.png_RGB_XY_HSV","Q","LIVER","001i",0.510242242095174,0.0898103514276992,0.910088328432756,11459
"MOUSE_Q_LIVER_001j.png_RGB_XY_HSV","Q","LIVER","001j",0.473977647973877,0.082703640116652,0.92183047502008,2092022
"MOUSE_T_CAECUM_001a.png_RGB_XY_HSV","T","CAECUM","001a",0.861069752745965,0.00121161015463237,0.999491592219373,7638677
"MOUSE_T_LIVER_001a.png_RGB_XY_HSV","T","LIVER","001a",0.565295689539764,0.0147957237362148,0.996707009914705,4092802
"MOUSE_T_LIVER_001b.png_RGB_XY_HSV","T","LIVER","001b",0.634391921427775,0.0181335474376565,0.993858003064419,343812
"MOUSE_T_LIVER_001c.png_RGB_XY_HSV","T","LIVER","001c",0.454877290142184,0.0568918820149402,0.99791869922629,1050272
"MOUSE_T_LIVER_001d.png_RGB_XY_HSV","T","LIVER","001d",0.534052779622792,0.0362670727642772,0.986964293459576,645245
"MOUSE_T_LIVER_001e.png_RGB_XY_HSV","T","LIVER","001e",0.350558589228372,0.145346656907953,0.893676424631159,34726
"MOUSE_T_LIVER_001f.png_RGB_XY_HSV","T","LIVER","001f",0.383854386851814,0.12253769061935,0.938385820545419,109540
"MOUSE_T_PERI_001a.png_RGB_XY_HSV","T","PERI","001a",0.667733001149434,0.0508764599707257,0.934737019431314,352603
"MOUSE_X_CAECUM_001a.png_RGB_XY_HSV","X","CAECUM","001a",0.820886371316432,0.0151850118936239,0.999642907170049,3728816
"MOUSE_X_PERI_001a.png_RGB_XY_HSV","X","PERI","001a",0.778467361997599,0.00946549775662312,0.999394874490545,4334278
"MOUSE_Y_PERI_001a.png_RGB_XY_HSV","Y","PERI","001a",0.628095536783869,0.0353754617400198,0.902404008616153,477437
"MOUSE_Y_PERI_001b.png_RGB_XY_HSV","Y","PERI","001b",0.782796880604587,0.00563433807511739,0.998152671769689,1680338
"MOUSE_Y_PERI_001c.png_RGB_XY_HSV","Y","PERI","001c",0.693690136856737,0.0114780872471321,0.99745341640327,25917
"MOUSE_Y_PERI_001d.png_RGB_XY_HSV","Y","PERI","001d",0.762944074159639,0.0104892261183819,0.971580718794194,315691
"MOUSE_Y_PERI_001e.png_RGB_XY_HSV","Y","PERI","001e",0.64850779425774,0.024290647105481,0.988843332263278,74717
"MOUSE_Z_CAECUM_001a.png_RGB_XY_HSV","Z","CAECUM","001a",0.813875909106478,0.00785485158417788,0.999369617907549,4095897
"MOUSE_Z_PERI_001a.png_RGB_XY_HSV","Z","PERI","001a",0.618169167052044,0.0161052421348929,0.996560081518014,4579555
"MOUSE_Z_PERI_001b.png_RGB_XY_HSV","Z","PERI","001b",0.724153727485401,0.0217481737449695,0.997356209863087,127941
"MOUSE_Z_PERI_001c.png_RGB_XY_HSV","Z","PERI","001c",0.693072920717746,0.0137286048528378,0.995425987363053,431584
"MOUSE_Z_PERI_001d.png_RGB_XY_HSV","Z","PERI","001d",0.710011965822238,0.0165605337185866,0.996600456359709,886629
"MOUSE_Z_PERI_001e.png_RGB_XY_HSV","Z","PERI","001e",0.602729922995058,0.0376118436126958,0.995659449328735,161887
